City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
204,Anito,PH,78.12,overcast clouds,12.4497,125.2886,The Yellow House
207,Grand Baie,MU,77.0,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
213,Lakatoro,VU,85.93,light rain,-16.0999,167.4164,Lakatoro Palm Lodge
215,Santa Luzia,BR,75.2,light rain,-19.7697,-43.8514,Pousada Chao Earth
222,Torit,SS,77.09,clear sky,4.4133,32.5678,Diplomat Guest House
225,Biak,ID,83.12,scattered clouds,-0.9131,122.8766,Penginapan Kim
228,Buala,SB,81.97,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
242,Mana,GF,77.65,broken clouds,5.6592,-53.7767,LE SAMANA
254,Geraldton,AU,75.2,clear sky,-28.7667,114.6,Broadwater Mariner Resort
259,Young,UY,89.01,clear sky,-32.6833,-57.6333,Posada Gira el Sol
262,Sola,VU,86.0,broken clouds,-13.8833,167.55,Leumerus Bungalows
263,Faanui,PF,80.85,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
270,Bubaque,GW,80.44,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
273,San Pedro,PH,80.01,scattered clouds,14.35,121.0167,OYO 412 Viewfort Venue
281,Mitsamiouli,KM,81.45,light rain,-11.3847,43.2844,Foyer ADM
285,Harper,LR,78.58,scattered clouds,4.375,-7.7169,Screensaver
288,San-Pedro,CI,77.9,moderate rain,4.7485,-6.6363,Hotel Maria
298,The Valley,AI,79.0,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
300,Alyangula,AU,89.6,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
305,Puerto Quijarro,BO,81.91,clear sky,-17.7833,-57.7667,Hotel palance
308,Marawi,PH,78.01,overcast clouds,7.9986,124.2928,Derogongan Residence
309,Moron,AR,82.0,clear sky,-34.6534,-58.6198,Hotel Morón
