City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,Napierville,CA,2021-01-11 00:31:17,45.1865,-73.4047,19.99,93,100,8.05,overcast clouds
146,College,US,2021-01-11 00:31:17,64.8569,-147.8028,15.8,79,75,5.75,broken clouds
147,Itarema,BR,2021-01-11 00:31:18,-2.9248,-39.9167,78.78,78,99,12.33,overcast clouds
148,Bambous Virieux,MU,2021-01-11 00:31:18,-20.3428,57.7575,78.8,94,75,3.44,light rain
149,Morros,BR,2021-01-11 00:31:18,-9.4467,-46.3003,72.84,87,100,2.51,overcast clouds
150,Karwar,IN,2021-01-11 00:31:18,14.8,74.1333,75.78,69,33,5.84,scattered clouds
151,Flinders,AU,2021-01-11 00:31:18,-34.5833,150.8552,81.0,61,4,4.0,clear sky
152,Apollonia,GR,2021-01-11 00:31:19,36.9716,24.7231,68.0,72,100,12.66,overcast clouds
153,Belmonte,BR,2021-01-11 00:31:19,-15.8631,-38.8828,78.8,83,75,8.05,broken clouds
154,Ryotsu,JP,2021-01-11 00:31:19,38.0833,138.4333,32.0,93,75,4.61,light snow
155,Khatanga,RU,2021-01-11 00:31:19,71.9667,102.5,-8.86,90,100,16.55,light snow
156,Avera,US,2021-01-11 00:29:14,33.194,-82.5271,41.0,87,1,3.18,clear sky
157,Waingapu,ID,2021-01-11 00:31:20,-9.6567,120.2641,83.86,70,99,0.76,overcast clouds
158,Bengkulu,ID,2021-01-11 00:31:20,-3.8004,102.2655,78.96,79,100,3.53,overcast clouds
159,Tiksi,RU,2021-01-11 00:31:20,71.6872,128.8694,-20.56,85,100,17.34,overcast clouds
160,Trat,TH,2021-01-11 00:31:21,12.5,102.5,69.96,68,94,13.27,overcast clouds
161,Pathein,MM,2021-01-11 00:26:42,16.7833,94.7333,69.91,73,50,4.83,scattered clouds
162,Yar-Sale,RU,2021-01-11 00:31:21,66.8333,70.8333,-16.64,83,14,6.29,few clouds
163,Gat,IL,2021-01-11 00:31:21,31.61,34.7642,59.0,82,0,2.3,clear sky
164,Ashland,US,2021-01-11 00:31:21,40.8167,-82.2665,32.0,74,1,1.9,clear sky
165,Pecos,US,2021-01-11 00:31:22,31.4229,-103.4932,35.6,75,90,5.75,overcast clouds
166,San Cristobal,VE,2021-01-11 00:31:22,7.7669,-72.225,80.6,69,40,4.61,light rain
167,Fort Nelson,CA,2021-01-11 00:31:22,58.8053,-122.7002,6.8,92,40,4.14,scattered clouds
168,Vanimo,PG,2021-01-11 00:31:22,-2.6741,141.3028,84.58,70,100,2.95,light rain
169,Kondinskoye,RU,2021-01-11 00:31:23,59.6481,67.41,-23.87,86,96,8.77,overcast clouds
170,Arraial Do Cabo,BR,2021-01-11 00:31:23,-22.9661,-42.0278,76.87,90,3,16.78,clear sky
171,Santa Rosa,PH,2021-01-11 00:31:23,14.3122,121.1114,80.01,73,40,1.14,scattered clouds
172,Saldanha,ZA,2021-01-11 00:31:24,-33.0117,17.9442,57.2,77,0,5.75,clear sky
173,Batticaloa,LK,2021-01-11 00:31:24,7.7102,81.6924,75.81,93,100,3.85,heavy intensity rain
174,Cockburn Town,TC,2021-01-11 00:31:24,21.4612,-71.1419,77.0,78,40,4.61,scattered clouds
175,Bouar,CF,2021-01-11 00:31:25,5.934,15.596,66.54,26,0,5.32,clear sky
176,Srednekolymsk,RU,2021-01-11 00:31:25,67.45,153.6833,-31.23,84,94,2.35,overcast clouds
177,Cypress,US,2021-01-11 00:31:25,33.817,-118.0373,69.8,21,1,6.91,clear sky
178,Sao Filipe,CV,2021-01-11 00:31:25,14.8961,-24.4956,70.86,70,41,18.05,scattered clouds
179,Comodoro Rivadavia,AR,2021-01-11 00:30:36,-45.8667,-67.5,62.6,25,20,23.02,few clouds
180,Paamiut,GL,2021-01-11 00:31:27,61.994,-49.6678,33.01,97,100,8.43,snow
181,Vao,NC,2021-01-11 00:31:27,-22.6667,167.4833,77.74,89,100,14.09,overcast clouds
182,Klaksvik,FO,2021-01-11 00:31:27,62.2266,-6.589,30.2,69,75,17.27,light snow
183,Bathsheba,BB,2021-01-11 00:31:27,13.2167,-59.5167,78.8,73,20,20.71,few clouds
184,San Carlos De Bariloche,AR,2021-01-11 00:27:27,-41.1456,-71.3082,46.4,61,40,26.46,scattered clouds
